group,alphabet,seed_to_target,seed_n,target_n,seed_total,signature_count,mean_seeds_per_signature,max_seeds_per_signature,seed_rate_NW,signature_active_rate_NW,signature_purity_NW,seed_rate_NE,signature_active_rate_NE,signature_purity_NE,seed_rate_SW,signature_active_rate_SW,signature_purity_SW,seed_rate_SE,signature_active_rate_SE,signature_purity_SE,seed_rate_CENTER,signature_active_rate_CENTER,signature_purity_CENTER,seed_rate_ALL_CORNERS,signature_active_rate_ALL_CORNERS,signature_purity_ALL_CORNERS,seed_rate_ANY_EDGE,signature_active_rate_ANY_EDGE,signature_purity_ANY_EDGE,seed_rate_ANY_OFFSET,signature_active_rate_ANY_OFFSET,signature_purity_ANY_OFFSET,seed_gap_ANY_OFFSET_minus_ANY_EDGE,boundary_signature_explains_ANY_EDGE,boundary_signature_explains_ANY_OFFSET
main_target_le_5,G3_Jeandel_Rao_11,2->3,2,3,85,85,1.0,1,0.8352941176470589,0.8352941176470589,1.0,0.9176470588235294,0.9176470588235294,1.0,0.8235294117647058,0.8235294117647058,1.0,0.9058823529411765,0.9058823529411765,1.0,0.8352941176470589,0.8352941176470589,1.0,0.9882352941176471,0.9882352941176471,1.0,0.9882352941176471,0.9882352941176471,1.0,0.9882352941176471,0.9882352941176471,1.0,0.0,True,True
main_target_le_5,G3_Jeandel_Rao_11,2->4,2,4,85,85,1.0,1,0.8352941176470589,0.8352941176470589,1.0,0.8941176470588236,0.8941176470588236,1.0,0.8,0.8,1.0,0.9058823529411765,0.9058823529411765,1.0,0.7294117647058823,0.7294117647058823,1.0,0.9882352941176471,0.9882352941176471,1.0,0.9882352941176471,0.9882352941176471,1.0,0.9882352941176471,0.9882352941176471,1.0,0.0,True,True
main_target_le_5,G3_Jeandel_Rao_11,2->5,2,5,85,85,1.0,1,0.8352941176470589,0.8352941176470589,1.0,0.8941176470588236,0.8941176470588236,1.0,0.8,0.8,1.0,0.9058823529411765,0.9058823529411765,1.0,0.7176470588235294,0.7176470588235294,1.0,0.9882352941176471,0.9882352941176471,1.0,0.9882352941176471,0.9882352941176471,1.0,0.9882352941176471,0.9882352941176471,1.0,0.0,True,True
main_target_le_5,G3_Jeandel_Rao_11,3->4,3,4,444,444,1.0,1,0.6171171171171171,0.6171171171171171,1.0,0.6959459459459459,0.6959459459459459,1.0,0.5833333333333334,0.5833333333333334,1.0,0.6441441441441441,0.6441441441441441,1.0,0.6171171171171171,0.6171171171171171,1.0,0.9301801801801802,0.9301801801801802,1.0,0.9301801801801802,0.9301801801801802,1.0,0.9301801801801802,0.9301801801801802,1.0,0.0,True,True
main_target_le_5,G3_Jeandel_Rao_11,3->5,3,5,444,444,1.0,1,0.581081081081081,0.581081081081081,1.0,0.6283783783783784,0.6283783783783784,1.0,0.5382882882882883,0.5382882882882883,1.0,0.6126126126126126,0.6126126126126126,1.0,0.36036036036036034,0.36036036036036034,1.0,0.8896396396396397,0.8896396396396397,1.0,0.8896396396396397,0.8896396396396397,1.0,0.8896396396396397,0.8896396396396397,1.0,0.0,True,True
main_target_le_5,G3_Jeandel_Rao_11,4->5,4,5,1723,1723,1.0,1,0.4799767846778874,0.4799767846778874,1.0,0.5693557748113756,0.5693557748113756,1.0,0.4904236796285548,0.4904236796285548,1.0,0.587928032501451,0.587928032501451,1.0,0.4799767846778874,0.4799767846778874,1.0,0.8647707486941382,0.8647707486941382,1.0,0.8647707486941382,0.8647707486941382,1.0,0.8647707486941382,0.8647707486941382,1.0,0.0,True,True
main_target_le_5,G4_Labbe_19,2->3,2,3,139,139,1.0,1,0.697841726618705,0.697841726618705,1.0,0.5107913669064749,0.5107913669064749,1.0,0.7122302158273381,0.7122302158273381,1.0,0.5035971223021583,0.5035971223021583,1.0,0.697841726618705,0.697841726618705,1.0,0.8992805755395683,0.8992805755395683,1.0,0.8992805755395683,0.8992805755395683,1.0,0.8992805755395683,0.8992805755395683,1.0,0.0,True,True
main_target_le_5,G4_Labbe_19,2->4,2,4,139,139,1.0,1,0.6762589928057554,0.6762589928057554,1.0,0.5035971223021583,0.5035971223021583,1.0,0.6834532374100719,0.6834532374100719,1.0,0.4748201438848921,0.4748201438848921,1.0,0.3669064748201439,0.3669064748201439,1.0,0.8776978417266187,0.8776978417266187,1.0,0.8848920863309353,0.8848920863309353,1.0,0.8848920863309353,0.8848920863309353,1.0,0.0,True,True
main_target_le_5,G4_Labbe_19,2->5,2,5,139,139,1.0,1,0.6618705035971223,0.6618705035971223,1.0,0.4892086330935252,0.4892086330935252,1.0,0.6690647482014388,0.6690647482014388,1.0,0.45323741007194246,0.45323741007194246,1.0,0.3597122302158273,0.3597122302158273,1.0,0.8561151079136691,0.8561151079136691,1.0,0.8561151079136691,0.8561151079136691,1.0,0.8561151079136691,0.8561151079136691,1.0,0.0,True,True
main_target_le_5,G4_Labbe_19,3->4,3,4,428,428,1.0,1,0.6985981308411215,0.6985981308411215,1.0,0.3411214953271028,0.3411214953271028,1.0,0.7009345794392523,0.7009345794392523,1.0,0.34813084112149534,0.34813084112149534,1.0,0.6985981308411215,0.6985981308411215,1.0,0.9018691588785047,0.9018691588785047,1.0,0.9018691588785047,0.9018691588785047,1.0,0.9018691588785047,0.9018691588785047,1.0,0.0,True,True
