group,alphabet,seed_to_target,seed_n,target_n,policy,seed_total,target_total,restored_seeds,blocked_seeds,restoration_rate
main_target_le_5,G4_Labbe_19,2->4,2,4,SW,139,1955,95,44,0.6834532374100719
main_target_le_5,G4_Labbe_19,2->4,2,4,SE,139,1955,66,73,0.4748201438848921
main_target_le_5,G4_Labbe_19,2->4,2,4,CENTER,139,1955,51,88,0.3669064748201439
main_target_le_5,G4_Labbe_19,2->4,2,4,ALL_CORNERS,139,1955,122,17,0.8776978417266187
main_target_le_5,G4_Labbe_19,2->4,2,4,ANY_EDGE,139,1955,123,16,0.8848920863309353
main_target_le_5,G4_Labbe_19,2->4,2,4,ANY_OFFSET,139,1955,123,16,0.8848920863309353
main_target_le_5,G4_Labbe_19,2->5,2,5,NW,139,3626,92,47,0.6618705035971223
main_target_le_5,G4_Labbe_19,2->5,2,5,NE,139,3626,68,71,0.4892086330935252
main_target_le_5,G4_Labbe_19,2->5,2,5,SW,139,3626,93,46,0.6690647482014388
main_target_le_5,G4_Labbe_19,2->5,2,5,SE,139,3626,63,76,0.45323741007194246
main_target_le_5,G4_Labbe_19,2->5,2,5,CENTER,139,3626,50,89,0.3597122302158273
main_target_le_5,G4_Labbe_19,2->5,2,5,ALL_CORNERS,139,3626,119,20,0.8561151079136691
main_target_le_5,G4_Labbe_19,2->5,2,5,ANY_EDGE,139,3626,119,20,0.8561151079136691
main_target_le_5,G4_Labbe_19,2->5,2,5,ANY_OFFSET,139,3626,119,20,0.8561151079136691
main_target_le_5,G4_Labbe_19,3->4,3,4,NW,428,1955,299,129,0.6985981308411215
main_target_le_5,G4_Labbe_19,3->4,3,4,NE,428,1955,146,282,0.3411214953271028
main_target_le_5,G4_Labbe_19,3->4,3,4,SW,428,1955,300,128,0.7009345794392523
main_target_le_5,G4_Labbe_19,3->4,3,4,SE,428,1955,149,279,0.34813084112149534
main_target_le_5,G4_Labbe_19,3->4,3,4,CENTER,428,1955,299,129,0.6985981308411215
main_target_le_5,G4_Labbe_19,3->4,3,4,ALL_CORNERS,428,1955,386,42,0.9018691588785047
main_target_le_5,G4_Labbe_19,3->4,3,4,ANY_EDGE,428,1955,386,42,0.9018691588785047
main_target_le_5,G4_Labbe_19,3->4,3,4,ANY_OFFSET,428,1955,386,42,0.9018691588785047
main_target_le_5,G4_Labbe_19,3->5,3,5,NW,428,3626,281,147,0.6565420560747663
main_target_le_5,G4_Labbe_19,3->5,3,5,NE,428,3626,133,295,0.3107476635514019
main_target_le_5,G4_Labbe_19,3->5,3,5,SW,428,3626,279,149,0.6518691588785047
main_target_le_5,G4_Labbe_19,3->5,3,5,SE,428,3626,131,297,0.3060747663551402
main_target_le_5,G4_Labbe_19,3->5,3,5,CENTER,428,3626,101,327,0.23598130841121495
main_target_le_5,G4_Labbe_19,3->5,3,5,ALL_CORNERS,428,3626,365,63,0.852803738317757
main_target_le_5,G4_Labbe_19,3->5,3,5,ANY_EDGE,428,3626,366,62,0.8551401869158879
